LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1962-Q1,Q1-1962,PER,Persons,3,Thousands,,,6173.229,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1962-Q2,Q2-1962,PER,Persons,3,Thousands,,,6237.138,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1962-Q3,Q3-1962,PER,Persons,3,Thousands,,,6246.58,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1962-Q4,Q4-1962,PER,Persons,3,Thousands,,,6243.09,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1963-Q1,Q1-1963,PER,Persons,3,Thousands,,,6263.835,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1963-Q2,Q2-1963,PER,Persons,3,Thousands,,,6318.307,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1963-Q3,Q3-1963,PER,Persons,3,Thousands,,,6415.868,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1963-Q4,Q4-1963,PER,Persons,3,Thousands,,,6498.259,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1964-Q1,Q1-1964,PER,Persons,3,Thousands,,,6558.724,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1964-Q2,Q2-1964,PER,Persons,3,Thousands,,,6583.112,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1964-Q3,Q3-1964,PER,Persons,3,Thousands,,,6619.713,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1964-Q4,Q4-1964,PER,Persons,3,Thousands,,,6675.574,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1965-Q1,Q1-1965,PER,Persons,3,Thousands,,,6779.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1965-Q2,Q2-1965,PER,Persons,3,Thousands,,,6825.333,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1965-Q3,Q3-1965,PER,Persons,3,Thousands,,,6880.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1965-Q4,Q4-1965,PER,Persons,3,Thousands,,,6962.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1966-Q1,Q1-1966,PER,Persons,3,Thousands,,,7160,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1966-Q2,Q2-1966,PER,Persons,3,Thousands,,,7198,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1966-Q3,Q3-1966,PER,Persons,3,Thousands,,,7272.667,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1966-Q4,Q4-1966,PER,Persons,3,Thousands,,,7338,,
CAN,Canada,LFEMTTTT,"Employed population, Aged 15 and over, All persons",STSA,"Level, rate or quantity series, s.a.",Q,Quarterly,1967-Q1,Q1-1967,PER,Persons,3,Thousands,,,7402.333,,
