DATE,CE16OV
1/1/1948,58061
2/1/1948,58196
3/1/1948,57671
4/1/1948,58291
5/1/1948,57854
6/1/1948,58743
7/1/1948,58968
8/1/1948,58456
9/1/1948,58513
10/1/1948,58387
11/1/1948,58417
12/1/1948,58740
1/1/1949,58175
2/1/1949,58208
3/1/1949,58043
4/1/1949,57747
5/1/1949,57552
6/1/1949,57172
7/1/1949,57190
8/1/1949,57397
9/1/1949,57584
10/1/1949,57269
11/1/1949,58009
12/1/1949,57845
1/1/1950,57635
2/1/1950,57751
3/1/1950,57728
4/1/1950,58583
5/1/1950,58649
6/1/1950,59052
7/1/1950,59001
8/1/1950,59797
9/1/1950,59575
10/1/1950,59803
11/1/1950,59697
12/1/1950,59429
1/1/1951,59636
2/1/1951,59661
3/1/1951,60401
4/1/1951,59889
5/1/1951,60188
6/1/1951,59620
7/1/1951,60156
8/1/1951,59994
9/1/1951,59713
10/1/1951,60010
11/1/1951,59836
12/1/1951,60497
1/1/1952,60460
2/1/1952,60462
3/1/1952,59908
4/1/1952,59909
5/1/1952,60195
6/1/1952,60219
7/1/1952,59971
8/1/1952,59790
9/1/1952,60521
10/1/1952,60132
11/1/1952,60748
12/1/1952,60954
1/1/1953,61600
2/1/1953,61884
3/1/1953,62010
4/1/1953,61444
5/1/1953,61019
6/1/1953,61456
7/1/1953,61397
8/1/1953,61151
9/1/1953,60906
10/1/1953,60893
11/1/1953,60738
12/1/1953,59977
1/1/1954,60024
2/1/1954,60663
3/1/1954,60186
4/1/1954,60185
5/1/1954,59908
6/1/1954,59792
7/1/1954,59643
8/1/1954,59853
9/1/1954,60282
10/1/1954,60270
11/1/1954,60357
12/1/1954,60116
1/1/1955,60753
2/1/1955,60727
3/1/1955,60964
4/1/1955,61515
5/1/1955,61634
6/1/1955,61781
7/1/1955,62513
8/1/1955,62797
9/1/1955,62950
10/1/1955,62991
11/1/1955,63257
12/1/1955,63684
1/1/1956,63753
2/1/1956,63518
3/1/1956,63411
4/1/1956,63614
5/1/1956,63861
6/1/1956,63820
7/1/1956,63800
8/1/1956,63972
9/1/1956,64079
10/1/1956,63975
11/1/1956,63796
12/1/1956,63910
1/1/1957,63632
2/1/1957,64257
3/1/1957,64404
4/1/1957,64047
5/1/1957,63985
6/1/1957,64196
7/1/1957,64540
8/1/1957,63959
9/1/1957,64121
10/1/1957,64046
11/1/1957,63669
12/1/1957,63922
1/1/1958,63220
2/1/1958,62898
3/1/1958,62731
4/1/1958,62631
5/1/1958,62874
6/1/1958,62730
7/1/1958,62745
8/1/1958,63012
9/1/1958,63181
10/1/1958,63475
11/1/1958,63470
12/1/1958,63549
1/1/1959,63868
2/1/1959,63684
3/1/1959,64267
4/1/1959,64768
5/1/1959,64699
6/1/1959,64849
7/1/1959,65011
8/1/1959,64844
9/1/1959,64770
10/1/1959,64911
11/1/1959,64530
12/1/1959,65341
1/1/1960,65347
2/1/1960,65620
3/1/1960,64673
4/1/1960,65959
5/1/1960,66057
6/1/1960,66168
7/1/1960,65909
8/1/1960,65895
9/1/1960,66267
10/1/1960,65632
11/1/1960,66109
12/1/1960,65778
1/1/1961,65776
2/1/1961,65588
3/1/1961,65850
4/1/1961,65374
5/1/1961,65449
6/1/1961,65993
7/1/1961,65608
8/1/1961,65852
9/1/1961,65541
10/1/1961,65919
11/1/1961,66081
12/1/1961,65900
1/1/1962,66108
2/1/1962,66538
3/1/1962,66493
4/1/1962,66372
5/1/1962,66688
6/1/1962,66670
7/1/1962,66483
8/1/1962,66968
9/1/1962,67192
10/1/1962,67114
11/1/1962,66847
12/1/1962,66947
1/1/1963,67072
2/1/1963,67024
3/1/1963,67351
4/1/1963,67642
5/1/1963,67615
6/1/1963,67649
7/1/1963,67905
8/1/1963,67908
9/1/1963,68174
10/1/1963,68294
11/1/1963,68267
12/1/1963,68213
1/1/1964,68327
2/1/1964,68751
3/1/1964,68763
4/1/1964,69356
5/1/1964,69631
6/1/1964,69218
7/1/1964,69399
8/1/1964,69463
9/1/1964,69578
10/1/1964,69582
11/1/1964,69735
12/1/1964,69814
1/1/1965,69997
2/1/1965,70127
3/1/1965,70439
4/1/1965,70633
5/1/1965,71034
6/1/1965,71025
7/1/1965,71460
8/1/1965,71362
9/1/1965,71286
10/1/1965,71695
11/1/1965,71724
12/1/1965,72062
1/1/1966,72198
2/1/1966,72134
3/1/1966,72188
4/1/1966,72510
5/1/1966,72497
6/1/1966,72775
7/1/1966,72860
8/1/1966,73146
9/1/1966,73258
10/1/1966,73401
11/1/1966,73840
12/1/1966,73729
1/1/1967,73671
2/1/1967,73606
3/1/1967,73439
4/1/1967,73882
5/1/1967,73844
6/1/1967,74278
7/1/1967,74520
8/1/1967,74767
9/1/1967,74854
10/1/1967,75051
11/1/1967,75125
12/1/1967,75473
1/1/1968,74700
2/1/1968,75229
3/1/1968,75379
4/1/1968,75561
5/1/1968,76107
6/1/1968,76182
7/1/1968,76087
8/1/1968,76043
9/1/1968,76172
10/1/1968,76224
11/1/1968,76494
12/1/1968,76778
1/1/1969,76805
2/1/1969,77327
3/1/1969,77367
4/1/1969,77523
5/1/1969,77412
6/1/1969,77880
7/1/1969,77959
8/1/1969,78250
9/1/1969,78250
10/1/1969,78445
11/1/1969,78541
12/1/1969,78740
1/1/1970,78780
2/1/1970,78698
3/1/1970,78863
4/1/1970,78930
5/1/1970,78564
6/1/1970,78413
7/1/1970,78726
8/1/1970,78624
9/1/1970,78498
10/1/1970,78685
11/1/1970,78650
12/1/1970,78594
1/1/1971,78864
2/1/1971,78700
3/1/1971,78588
4/1/1971,78987
5/1/1971,79139
6/1/1971,78757
7/1/1971,79305
8/1/1971,79539
9/1/1971,79689
10/1/1971,79918
11/1/1971,80297
12/1/1971,80471
1/1/1972,80959
2/1/1972,81108
3/1/1972,81573
4/1/1972,81655
5/1/1972,81887
6/1/1972,82083
7/1/1972,82230
8/1/1972,82578
9/1/1972,82543
10/1/1972,82616
11/1/1972,82990
12/1/1972,83400
1/1/1973,83161
2/1/1973,83912
3/1/1973,84452
4/1/1973,84559
5/1/1973,84648
6/1/1973,85185
7/1/1973,85299
8/1/1973,85204
9/1/1973,85488
10/1/1973,85987
11/1/1973,86320
12/1/1973,86401
1/1/1974,86555
2/1/1974,86754
3/1/1974,86819
4/1/1974,86669
5/1/1974,86891
6/1/1974,86941
7/1/1974,87149
8/1/1974,87037
9/1/1974,87051
10/1/1974,86995
11/1/1974,86626
12/1/1974,86144
1/1/1975,85627
2/1/1975,85256
3/1/1975,85187
4/1/1975,85189
5/1/1975,85451
6/1/1975,85355
7/1/1975,85894
8/1/1975,86234
9/1/1975,86279
10/1/1975,86370
11/1/1975,86456
12/1/1975,86665
1/1/1976,87400
2/1/1976,87672
3/1/1976,87985
4/1/1976,88416
5/1/1976,88794
6/1/1976,88563
7/1/1976,89093
8/1/1976,89223
9/1/1976,89173
10/1/1976,89274
11/1/1976,89634
12/1/1976,89803
1/1/1977,89928
2/1/1977,90342
3/1/1977,90808
4/1/1977,91271
5/1/1977,91754
6/1/1977,91959
7/1/1977,92084
8/1/1977,92441
9/1/1977,92702
10/1/1977,93052
11/1/1977,93761
12/1/1977,94105
1/1/1978,94384
2/1/1978,94519
3/1/1978,94755
4/1/1978,95394
5/1/1978,95769
6/1/1978,96343
7/1/1978,96090
8/1/1978,96431
9/1/1978,96670
10/1/1978,97133
11/1/1978,97485
12/1/1978,97581
1/1/1979,97948
2/1/1979,98329
3/1/1979,98480
4/1/1979,98103
5/1/1979,98331
6/1/1979,98679
7/1/1979,99006
8/1/1979,98776
9/1/1979,99340
10/1/1979,99404
11/1/1979,99574
12/1/1979,99933
1/1/1980,99879
2/1/1980,99995
3/1/1980,99713
4/1/1980,99233
5/1/1980,98945
6/1/1980,98682
7/1/1980,98796
8/1/1980,98824
9/1/1980,99077
10/1/1980,99317
11/1/1980,99545
12/1/1980,99634
1/1/1981,99955
2/1/1981,100191
3/1/1981,100571
4/1/1981,101056
5/1/1981,101048
6/1/1981,100298
7/1/1981,100693
8/1/1981,100689
9/1/1981,100064
10/1/1981,100378
11/1/1981,100207
12/1/1981,99645
1/1/1982,99692
2/1/1982,99762
3/1/1982,99672
4/1/1982,99576
5/1/1982,100116
6/1/1982,99543
7/1/1982,99493
8/1/1982,99633
9/1/1982,99504
10/1/1982,99215
11/1/1982,99112
12/1/1982,99032
1/1/1983,99161
2/1/1983,99089
3/1/1983,99179
4/1/1983,99560
5/1/1983,99642
6/1/1983,100633
7/1/1983,101208
8/1/1983,101608
9/1/1983,102016
10/1/1983,102039
11/1/1983,102729
12/1/1983,102996
1/1/1984,103201
2/1/1984,103824
3/1/1984,103967
4/1/1984,104336
5/1/1984,105193
6/1/1984,105591
7/1/1984,105435
8/1/1984,105163
9/1/1984,105490
10/1/1984,105638
11/1/1984,105972
12/1/1984,106223
1/1/1985,106302
2/1/1985,106555
3/1/1985,106989
4/1/1985,106936
5/1/1985,106932
6/1/1985,106505
7/1/1985,106807
8/1/1985,107095
9/1/1985,107657
10/1/1985,107847
11/1/1985,108007
12/1/1985,108216
1/1/1986,108887
2/1/1986,108480
3/1/1986,108837
4/1/1986,108952
5/1/1986,109089
6/1/1986,109576
7/1/1986,109810
8/1/1986,110015
9/1/1986,110085
10/1/1986,110273
11/1/1986,110475
12/1/1986,110728
1/1/1987,110953
2/1/1987,111257
3/1/1987,111408
4/1/1987,111794
5/1/1987,112434
6/1/1987,112246
7/1/1987,112634
8/1/1987,113057
9/1/1987,112909
10/1/1987,113282
11/1/1987,113505
12/1/1987,113793
1/1/1988,114016
2/1/1988,114227
3/1/1988,114037
4/1/1988,114650
5/1/1988,114292
6/1/1988,114927
7/1/1988,115060
8/1/1988,115282
9/1/1988,115356
10/1/1988,115638
11/1/1988,116100
12/1/1988,116104
1/1/1989,116708
2/1/1989,116776
3/1/1989,117022
4/1/1989,117097
5/1/1989,117099
6/1/1989,117418
7/1/1989,117472
8/1/1989,117655
9/1/1989,117354
10/1/1989,117581
11/1/1989,117912
12/1/1989,117830
1/1/1990,119081
2/1/1990,119059
3/1/1990,119203
4/1/1990,118852
5/1/1990,119151
6/1/1990,118983
7/1/1990,118810
8/1/1990,118802
9/1/1990,118524
10/1/1990,118536
11/1/1990,118306
12/1/1990,118241
1/1/1991,117940
2/1/1991,117755
3/1/1991,117652
4/1/1991,118109
5/1/1991,117440
6/1/1991,117639
7/1/1991,117568
8/1/1991,117484
9/1/1991,117928
10/1/1991,117800
11/1/1991,117770
12/1/1991,117466
1/1/1992,117978
