DATE,MYAGM2USM052N
1/1/1959,2.898E+11
2/1/1959,2.877E+11
3/1/1959,2.879E+11
4/1/1959,2.902E+11
5/1/1959,2.902E+11
6/1/1959,2.925E+11
7/1/1959,2.944E+11
8/1/1959,2.948E+11
9/1/1959,2.961E+11
10/1/1959,2.969E+11
11/1/1959,2.978E+11
12/1/1959,3.006E+11
1/1/1960,3.015E+11
2/1/1960,2.985E+11
3/1/1960,2.982E+11
4/1/1960,3.003E+11
5/1/1960,2.989E+11
6/1/1960,3.009E+11
7/1/1960,3.035E+11
8/1/1960,3.052E+11
9/1/1960,3.078E+11
10/1/1960,3.099E+11
11/1/1960,3.117E+11
12/1/1960,3.153E+11
1/1/1961,3.175E+11
2/1/1961,3.166E+11
3/1/1961,3.172E+11
4/1/1961,3.202E+11
5/1/1961,3.2E+11
6/1/1961,3.227E+11
7/1/1961,3.249E+11
8/1/1961,3.258E+11
9/1/1961,3.288E+11
10/1/1961,3.315E+11
11/1/1961,3.341E+11
12/1/1961,3.385E+11
1/1/1962,3.411E+11
2/1/1962,3.403E+11
3/1/1962,3.421E+11
4/1/1962,3.46E+11
5/1/1962,3.45E+11
6/1/1962,3.477E+11
7/1/1962,3.501E+11
8/1/1962,3.509E+11
9/1/1962,3.539E+11
10/1/1962,3.575E+11
11/1/1962,3.605E+11
12/1/1962,3.658E+11
1/1/1963,3.691E+11
2/1/1963,3.68E+11
3/1/1963,3.698E+11
4/1/1963,3.738E+11
5/1/1963,3.734E+11
6/1/1963,3.767E+11
7/1/1963,3.802E+11
8/1/1963,3.815E+11
9/1/1963,3.849E+11
10/1/1963,3.888E+11
11/1/1963,3.923E+11
12/1/1963,3.964E+11
1/1/1964,3.996E+11
2/1/1964,3.976E+11
3/1/1964,3.989E+11
4/1/1964,4.024E+11
5/1/1964,4.013E+11
6/1/1964,4.053E+11
7/1/1964,4.093E+11
8/1/1964,4.111E+11
9/1/1964,4.158E+11
10/1/1964,4.199E+11
11/1/1964,4.229E+11
12/1/1964,4.283E+11
1/1/1965,4.323E+11
2/1/1965,4.301E+11
3/1/1965,4.322E+11
4/1/1965,4.362E+11
5/1/1965,4.337E+11
6/1/1965,4.384E+11
7/1/1965,4.421E+11
8/1/1965,4.433E+11
9/1/1965,4.484E+11
10/1/1965,4.536E+11
11/1/1965,4.567E+11
12/1/1965,4.631E+11
1/1/1966,4.671E+11
2/1/1966,4.637E+11
3/1/1966,4.659E+11
4/1/1966,4.701E+11
5/1/1966,4.662E+11
6/1/1966,4.696E+11
7/1/1966,4.703E+11
8/1/1966,4.702E+11
9/1/1966,4.746E+11
10/1/1966,4.769E+11
11/1/1966,4.781E+11
12/1/1966,4.837E+11
1/1/1967,4.864E+11
2/1/1967,4.836E+11
3/1/1967,4.881E+11
4/1/1967,4.929E+11
5/1/1967,4.933E+11
6/1/1967,5.009E+11
7/1/1967,5.062E+11
8/1/1967,5.086E+11
